vid,Woord,id
24006007,3,89382
24006021,26,779
24006021,27,64918
24006025,2,6585
24006025,10,13248
24006029,3,5271
24006029,4,42414
24006029,5,50962
24007022,13,6141
24007022,14,62471
24008001,8,6185
24008006,20,199
24008006,21,83972
24008006,22,62748
24008007,11,779
24008007,12,89467
24009007,2,48627
24010013,15,652
24010013,16,849
24010017,6,27120
24013016,28,779
24013016,29,20791
24013020,1,26220
24013020,4,780
24013020,5,3000
24014003,5,46556
24014003,6,62755
24014014,29,794
24014014,30,72299
24014014,31,779
24014014,32,89465
24015004,4,3862
24015004,5,77781
24015008,4,57840
24015008,5,62422
24015009,8,16318
24015011,5,89890
24015011,6,62575
24015016,9,36405
24015016,10,62578
24016016,4,3862
24016016,5,87958
24017008,16,3077
24017010,12,9196
24017010,13,23573
24017010,14,62411
24017011,14,4130
24017011,15,62422
24017013,8,779
24017013,9,88964
24017013,10,62476
24017019,12,652
24017019,13,37077
24017023,17,19617
24017024,34,207
24017024,35,62414
24018003,6,779
24018003,7,9395
24018003,8,62337
24018010,3,652
24018010,4,12023
24018016,7,80407
24018022,14,89248
24018023,28,779
24018023,29,1255
24019002,9,649
24019002,10,89929
24019015,9,15566
24021009,32,779
24021009,33,23132
24021012,32,77757
24021012,33,62662
24022004,34,778
24022004,35,35249
24022004,36,62411
24022006,23,26871
24022018,29,75651
24022018,30,62429
24022023,1,27129
